id,item,price,currency,created_at,updated_at,system_timestamp
11111111-1111-1111-1111-111111111111,Pulse,199.99,NOK,2025-03-01T08:00:00+01:00,2025-03-01T08:05:00+01:00,2025-03-01T08:10:00+01:00
22222222-2222-2222-2222-222222222222,Smart Pulse,249.50,EUR,2025-03-01T09:15:00+01:00,2025-03-01T09:20:00+01:00,2025-03-01T09:30:00+01:00
33333333-3333-3333-3333-333333333333,Tibber Pulse,299.99,USD,2025-03-01T10:00:00+01:00,2025-03-01T10:05:00+01:00,2025-03-01T10:10:00+01:00
44444444-4444-4444-4444-444444444444,Energy Monitor,349.99,NOK,2025-03-01T11:00:00+01:00,2025-03-01T11:10:00+01:00,2025-03-01T11:15:00+01:00
55555555-5555-5555-5555-555555555555,Smart Sensor,189.95,JPY,2025-03-01T12:00:00+01:00,2025-03-01T12:10:00+01:00,2025-03-01T12:15:00+01:00
66666666-6666-6666-6666-666666666666,Pulse Light,129.99,NOK,2025-03-02T08:30:00+01:00,2025-03-02T08:35:00+01:00,2025-03-02T08:40:00+01:00
77777777-7777-7777-7777-777777777777,Tibber Energy,399.00,USD,2025-03-02T09:00:00+01:00,2025-03-02T09:05:00+01:00,2025-03-02T09:10:00+01:00
88888888-8888-8888-8888-888888888888,Tibber Sensor,219.99,NOK,2025-03-02T10:00:00+01:00,2025-03-02T10:05:00+01:00,2025-03-02T10:10:00+01:00
99999999-9999-9999-9999-999999999999,Tibber Charge,279.50,SEK,2025-03-02T11:00:00+01:00,2025-03-02T11:10:00+01:00,2025-03-02T11:15:00+01:00
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Pulse Pro,359.99,GBP,2025-03-02T12:00:00+01:00,2025-03-02T12:05:00+01:00,2025-03-02T12:10:00+01:00
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,Pulse Mini,149.99,NOK,2025-03-03T08:00:00+01:00,2025-03-03T08:05:00+01:00,2025-03-03T08:10:00+01:00
cccccccc-cccc-cccc-cccc-cccccccccccc,SmartCharge,409.50,EUR,2025-03-03T09:15:00+01:00,2025-03-03T09:20:00+01:00,2025-03-03T09:30:00+01:00
dddddddd-dddd-dddd-dddd-dddddddddddd,Energy Hub,499.99,NOK,2025-03-03T10:00:00+01:00,2025-03-03T10:10:00+01:00,2025-03-03T10:15:00+01:00
eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,Pulse Plus,319.99,USD,2025-03-03T11:00:00+01:00,2025-03-03T11:05:00+01:00,2025-03-03T11:10:00+01:00
ffffffff-ffff-ffff-ffff-ffffffffffff,Tibber Home,289.95,NOK,2025-03-03T12:00:00+01:00,2025-03-03T12:05:00+01:00,2025-03-03T12:10:00+01:00
12345678-1234-1234-1234-123456789abc,Tibber Connect,269.99,EUR,2025-03-04T08:00:00+01:00,2025-03-04T08:05:00+01:00,2025-03-04T08:10:00+01:00
87654321-4321-4321-4321-cba987654321,Pulse X,399.95,NOK,2025-03-04T09:00:00+01:00,2025-03-04T09:05:00+01:00,2025-03-04T09:10:00+01:00
abcdefab-cdef-cdef-cdef-abcdefabcdef,SmartPulse X,189.95,JPY,2025-03-04T10:00:00+01:00,2025-03-04T10:05:00+01:00,2025-03-04T10:10:00+01:00
fedcbafe-dcba-dcba-dcba-fedcbafedcba,Tibber Elite,429.99,NOK,2025-03-04T11:00:00+01:00,2025-03-04T11:10:00+01:00,2025-03-04T11:15:00+01:00
0f0f0f0f-0f0f-0f0f-0f0f-0f0f0f0f0f0f,Pulse Max,359.50,USD,2025-03-04T12:00:00+01:00,2025-03-04T12:05:00+01:00,2025-03-04T12:10:00+01:00
